TextBlob,brand,clean,favourites_count,followers_count,friends_count,id,location,name,orig,polarity,pubdate,screen_name,sentiment,statuses_count,subjectivity,user_id,verified
xiaomi uleemark men icy cloth texture absorb sweat quick-drying high elasticity pants trousers ,xiaomi,xiaomi uleemark men icy cloth texture absorb sweat quick-drying high elasticity pants trousers ,4,26,32,1082984915770228737,USA,Christopher L. Taylor - Top Deal,XIAOMI Uleemark Men Icy Cloth Texture Absorb Sweat Quick-drying High Elasticity Pants Trousers https://t.co/A5ONRPp7wH,0.03,Wed Jan 09 12:58:19 +0000 2019,khashimsjsg,neutral,1113,0.31999999999999995,1057317691868893184,False
"on the 1st day investors were permitted to sell shares, xiaomi stock dropped 7% in hong kong to reach a record low. ",xiaomi,"on the 1st day investors were permitted to sell shares, xiaomi stock dropped 7% in hong kong to reach a record low. ",2,4823,644,1082984968807219200,Worldwide,Day Trading Academy,"On the 1st day investors were permitted to sell shares, Xiaomi stock dropped 7% in Hong Kong to reach a record low.… https://t.co/TpqhR7WEaz",0.0,Wed Jan 09 12:58:32 +0000 2019,DTradingAcademy,neutral,39342,0.3,535913183,False
"indian cricket coach was taking daily attendance.players had to say ""me.."" when their names came
like
1.kohli - ""me ",xiaomi,"indian cricket coach was taking daily attendance.players had to say ""me.."" when their names came
like
1.kohli - ""me ",90,7,71,1082984975975235584,"Pune, India",Tushar Maratkar,"Indian cricket coach was taking daily attendance.Players had to say ""Me.."" When their names came
Like
1.Kohli - ""Me… https://t.co/MK0ljLjQbA",0.0,Wed Jan 09 12:58:33 +0000 2019,Tushar2570,neutral,186,0.0,281913113,False
i've just posted a new blog: xiaomi mi a2 gets a permanent price cut in india  ,xiaomi,i've just posted a new blog: xiaomi mi a2 gets a permanent price cut in india  ,11,49,107,1082985180338495490,India,RUPAM NATH,I've just posted a new blog: Xiaomi Mi A2 gets a permanent price cut in India  https://t.co/kMougRyuGD,0.13636363636363635,Wed Jan 09 12:59:22 +0000 2019,rupamnath823,positive,1900,0.45454545454545453,867431262587416579,False
download xiaomi mi play stock wallpapers in highresolution  ,xiaomi,download xiaomi mi play stock wallpapers in highresolution  ,4,1111,1793,1082985230330408960,india,GizDev.Com,Download Xiaomi MI Play Stock Wallpapers In High Resolution https://t.co/lNyOytmT58 https://t.co/SXYchhXIGH,0.0,Wed Jan 09 12:59:34 +0000 2019,gizdevdotcom,neutral,4502,0.0,197045870,False
"on the 1st day some investors were permitted to sell shares, xiaomi stock dropped 7% in hong kong to reach a record ",xiaomi,"on the 1st day some investors were permitted to sell shares, xiaomi stock dropped 7% in hong kong to reach a record ",2,4823,644,1082985292636848128,Worldwide,Day Trading Academy,"On the 1st day some investors were permitted to sell shares, Xiaomi stock dropped 7% in Hong Kong to reach a record… https://t.co/MNiJHia20R",0.0,Wed Jan 09 12:59:49 +0000 2019,DTradingAcademy,neutral,39343,0.0,535913183,False
dual screen xiaomi kryo 485 homepod 10-core intel developer forum  ,xiaomi,dual screen xiaomi kryo 485 homepod 10-core intel developer forum  ,0,37,6,1082985345560522754,Your Internets,📱🍆🍆,dual screen xiaomi kryo 485 homepod 10-core intel developer forum 🍆 🍆,0.0,Wed Jan 09 13:00:01 +0000 2019,techpeepee,neutral,17341,0.0,3884732354,False
what's the difference between #esp based sensor and #zigbee? the power consumption. zigbee makes it very power effi ,xiaomi,what's the difference between #esp based sensor and #zigbee? the power consumption. zigbee makes it very power effi ,258,303,76,1082985453614256128,"England, United Kingdom",Mat,What's the difference between #ESP based sensor and #Zigbee? The power consumption. Zigbee makes it very power effi… https://t.co/GsY9JzETAj,0.2,Wed Jan 09 13:00:27 +0000 2019,NotEnoughTECH,positive,1863,0.3,717453542336946177,False
samsung joined apples rainy parade as its shares fell 2%. competition from cut-price chinese competitors huawei an ,xiaomi,samsung joined apples rainy parade as its shares fell 2%. competition from cut-price chinese competitors huawei an ,23415,1762,1737,1082985617531772928,Minnesota,Marilyn Williams,Samsung joined Apple’s rainy parade as its shares fell 2%. Competition from cut-price Chinese competitors Huawei an… https://t.co/i7qIIfzXPC,-0.125,Wed Jan 09 13:01:06 +0000 2019,JoyMWilliams,negative,22385,0.11666666666666667,17270570,False
#xiaomi #mia1 january security update and #androidpie  (hopefully with fixed issues that appeared in pulled down 1 ,xiaomi,#xiaomi #mia1 january security update and #androidpie  (hopefully with fixed issues that appeared in pulled down 1 ,9778,781,2356,1082985617720594432,"Earth, Solar System",Vladi,#Xiaomi #MiA1 January security update and #AndroidPie 🎉 (hopefully with fixed issues that appeared in pulled down 1… https://t.co/sLOHEdXimv,-0.02777777777777779,Wed Jan 09 13:01:06 +0000 2019,vbjelak,neutral,10711,0.24444444444444446,10569482,False
new deal online &gt;&gt; orignal xiaomi smart temperature and humidity sensor check it out &gt;&gt; ,xiaomi,new deal online &gt;&gt; orignal xiaomi smart temperature and humidity sensor check it out &gt;&gt; ,112,457,507,1082985648712269824,USA,DEALS DEALS,New Deal online &gt;&gt; Orignal Xiaomi Smart Temperature and Humidity Sensor Check it out &gt;&gt; https://t.co/SLTNHF779A,0.17532467532467533,Wed Jan 09 13:01:14 +0000 2019,Randajohn90,positive,718049,0.5487012987012987,2424456128,False
black xiaomi redmi note 4x case superior quality pc phone cover ,xiaomi,black xiaomi redmi note 4x case superior quality pc phone cover ,2,134,47,1082985659323899904,USA,Allen A. Murphy - Hot Deal - USA,Black Xiaomi Redmi Note 4X Case Superior Quality PC Phone Cover https://t.co/S21ZaDwH81,0.26666666666666666,Wed Jan 09 13:01:16 +0000 2019,SIMACARS,positive,135821,0.6666666666666667,2603492210,False
@manukumarjain @xiaomiindia @miofficialbd @xiaomi sir  my compliment still pending.  i am very much dissapointe wit ,xiaomi,@manukumarjain @xiaomiindia @miofficialbd @xiaomi sir  my compliment still pending.  i am very much dissapointe wit ,0,3,7,1082985681914392576,,MoinSafdar,@manukumarjain @XiaomiIndia @MiOfficialBD @xiaomi Sir  my compliment still pending.  I am very Much dissapointe wit… https://t.co/Nx767qTqMs,0.26,Wed Jan 09 13:01:22 +0000 2019,MoinSafdar4,positive,4,0.26,1018032061733580801,False
i liked a @youtube video  xiaomi pocophone f1 part 1,xiaomi,i liked a @youtube video  xiaomi pocophone f1 part 1,238,299,454,1082985768828764160,"台北市, 台灣",B.A.W,I liked a @YouTube video https://t.co/docXq8Cut3 Xiaomi Pocophone F1 part 1,0.6,Wed Jan 09 13:01:42 +0000 2019,bryanaringga,positive,2009,0.8,364863451,False
#xiaomi #mia1 january security update and new #androidpie  (hopefully with fixed issues that appeared in pulled do ,xiaomi,#xiaomi #mia1 january security update and new #androidpie  (hopefully with fixed issues that appeared in pulled do ,9778,781,2356,1082985819458203649,"Earth, Solar System",Vladi,#Xiaomi #MiA1 January security update and new #AndroidPie 🎉 (hopefully with fixed issues that appeared in pulled do… https://t.co/gDMrYQKxoX,0.11818181818181818,Wed Jan 09 13:01:54 +0000 2019,vbjelak,positive,10711,0.32727272727272727,10569482,False
xiaomi black shark skywalker gaming phone leaked; hints at apple iphone xs max level performance with 10gb ram  ti ,xiaomi,xiaomi black shark skywalker gaming phone leaked; hints at apple iphone xs max level performance with 10gb ram  ti ,207,219,418,1082986081417605121,,my仙台情報,Xiaomi Black Shark Skywalker gaming phone leaked; hints at Apple iPhone XS Max level performance with 10GB RAM – Ti… https://t.co/ZcRVk7Zcv4,-0.16666666666666666,Wed Jan 09 13:02:57 +0000 2019,sendai_jyouhou,negative,126033,0.43333333333333335,782750665999134720,False
xiaomi black shark skywalker gaming phone leaked; hints at apple iphone xs max level performance with 10gb ram  ti ,xiaomi,xiaomi black shark skywalker gaming phone leaked; hints at apple iphone xs max level performance with 10gb ram  ti ,1,78,207,1082986087402868736,仙台市 青葉区,ゆとりの老後年金生活,Xiaomi Black Shark Skywalker gaming phone leaked; hints at Apple iPhone XS Max level performance with 10GB RAM – Ti… https://t.co/xA377litu4,-0.16666666666666666,Wed Jan 09 13:02:58 +0000 2019,twno5twb1,negative,97679,0.43333333333333335,3219690445,False
xiaomi black shark skywalker gaming phone leaked; hints at apple iphone xs max level performance with 10gb ram  ti ,xiaomi,xiaomi black shark skywalker gaming phone leaked; hints at apple iphone xs max level performance with 10gb ram  ti ,16,3856,4246,1082986092452868096,,オープンソースを使ってみよう,Xiaomi Black Shark Skywalker gaming phone leaked; hints at Apple iPhone XS Max level performance with 10GB RAM – Ti… https://t.co/5KDMAsHl73,-0.16666666666666666,Wed Jan 09 13:03:00 +0000 2019,jagpnet,negative,49818,0.43333333333333335,421534333,False
first pictures of the 48 mp redmi x teased by xiaomi ceo  ,xiaomi,first pictures of the 48 mp redmi x teased by xiaomi ceo  ,6,1429,0,1082986371919171584,,notebookcheck.net,First pictures of the 48 MP Redmi X teased by Xiaomi CEO https://t.co/kwluEgmjBu https://t.co/y1D97C9OtE,0.25,Wed Jan 09 13:04:06 +0000 2019,nbc_net,positive,18806,0.3333333333333333,334213174,False
